State,party2020
Alabama,Rep
Alaska,Rep
Arizona,Dem
Arkansas,Rep
California,Dem
Colorado,Dem
Connecticut,Dem
Delaware,Dem
District of Columbia,Dem
Florida,Rep
Georgia,Dem
Hawaii,Dem
Idaho,Rep
Illinois,Dem
Indiana,Rep
Iowa,Rep
Kansas,Rep
Kentucky,Rep
Louisiana,Rep
Maine,Dem
CD-1,Dem
CD-2,Rep
Maryland,Dem
Massachusetts,Dem
Michigan,Dem
Minnesota,Dem
Mississippi,Rep
Missouri,Rep
Montana,Rep
Nebraska,Rep
CD-1,Rep
CD-2,Dem
CD-3,Rep
Nevada,Dem
New Hampshire,Dem
New Jersey,Dem
New Mexico,Dem
New York,Dem
North Carolina,Rep
North Dakota,Rep
Ohio,Rep
Oklahoma,Rep
Oregon,Dem
Pennsylvania,Dem
Rhode Island,Dem
South Carolina,Rep
South Dakota,Rep
Tennessee,Rep
Texas,Rep
Utah,Rep
Vermont,Dem
Virginia,Dem
Washington,Dem
West Virginia,Rep
Wisconsin,Dem
Wyoming,Rep
